usuario_id,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,score_crediticio,Alimentación,Ocio,Otros,Salud,Transporte,Vivienda,Educación,Servicios,gasto_total,ratio_gasto_ingreso,perfil_financiero,recomendaciones
user_0000,5427.58,0.0,Alta,539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saludable,['Mantener los hábitos financieros actuales']
user_0001,5946.28,1.0,Alta,575,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00016817236995230633,En observación,['Priorizar el pago de deuda antes de nuevos compromisos financieros']
user_0002,3968.19,0.0,Alta,741,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.000756012186916453,Saludable,['Mantener los hábitos financieros actuales']
user_0003,537.96,1.0,Alta,779,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.00371774853148933,En observación,['Priorizar el pago de deuda antes de nuevos compromisos financieros']
user_0004,4952.41,0.38,Alta,592,0.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0068653443474995,Saludable,['Priorizar el pago de deuda antes de nuevos compromisos financieros']
user_0005,3724.97,0.0,Alta,697,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0008053756137633324,Saludable,['Mantener los hábitos financieros actuales']
user_0006,3608.69,0.0,Alta,766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saludable,['Mantener los hábitos financieros actuales']
user_0007,7755.17,0.0,Alta,531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saludable,['Mantener los hábitos financieros actuales']
user_0008,5758.91,0.0,Alta,465,0.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0027783035331338745,Saludable,['Mantener los hábitos financieros actuales']
user_0009,452.72,1.0,Alta,566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,En observación,['Priorizar el pago de deuda antes de nuevos compromisos financieros']
user_0010,4258.76,0.0,Alta,319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saludable,['Mantener los hábitos financieros actuales']
user_0011,4676.24,0.0,Alta,457,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.001069235111970301,Saludable,['Mantener los hábitos financieros actuales']
user_0012,4755.81,0.0,Alta,564,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0023129603579621558,Saludable,['Mantener los hábitos financieros actuales']
user_0013,3897.8,0.77,Alta,414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,En observación,['Priorizar el pago de deuda antes de nuevos compromisos financieros']
user_0014,6860.99,0.0,Alta,480,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.001166012485078684,Saludable,['Mantener los hábitos financieros actuales']
user_0015,3594.88,1.0,Alta,357,0.0,0.0,163.0,0.0,2.0,0.0,0.0,0.0,165.0,0.045898611358376355,En observación,['Priorizar el pago de deuda antes de nuevos compromisos financieros']
user_0016,4366.14,1.0,Alta,736,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.003893599380688663,En observación,['Priorizar el pago de deuda antes de nuevos compromisos financieros']
